https://zh.wikisource.org/zh-hant/%E5%B8%B8%E7%94%A8%E5%9C%8B%E5%AD%97%E6%A8%99%E6%BA%96%E5%AD%97%E9%AB%94%E8%A1%A8
流水序	教育部字號	Unicode	常用字
01020	A01020	5BA6	宦
01021	A01021	5BA4	室
01022	A01022	5BA2	客
01023	A01023	5BA5	宥
01024	A01024	5BB0	宰
01025	A01025	5BB3	害
01026	A01026	5BB6	家
01027	A01027	5BB4	宴
01028	A01028	5BAE	宮
01029	A01029	5BB5	宵
01030	A01030	5BB9	容
01031	A01031	5BB8	宸
01032	A01032	5BC7	寇
01033	A01033	5BC5	寅
01034	A01034	5BC4	寄
01035	A01035	5BC2	寂
01036	A01036	5BBF	宿
01037	A01037	5BC6	密
01038	A01038	5BD2	寒
01039	A01039	5BCC	富
01040	A01040	5BD3	寓
01041	A01041	5BD0	寐
01042	A01042	5BDE	寞
01043	A01043	5BE7	寧
01044	A01044	5BE1	寡
01045	A01045	5BE5	寥
01046	A01046	5BE6	實
01047	A01047	5BE8	寨
01048	A01048	5BE2	寢
01049	A01049	5BE4	寤
01050	A01050	5BDF	察
01051	A01051	5BEE	寮
01052	A01052	5BEC	寬
01053	A01053	5BE9	審
01054	A01054	5BEB	寫
01055	A01055	5BF5	寵
01056	A01056	5BF6	寶
01057	A01057	5BF8	寸
01058	A01058	5BFA	寺
01059	A01059	5C01	封
01060	A01060	5C04	射
01061	A01061	5C09	尉
01062	A01062	5C08	專
01063	A01063	5C07	將
01064	A01064	5C0A	尊
01065	A01065	5C0B	尋
01066	A01066	5C0D	對
01067	A01067	5C0E	導
01068	A01068	5C0F	小
01069	A01069	5C11	少
01070	A01070	5C16	尖
01071	A01071	5C1A	尚
01072	A01072	5C24	尤
01073	A01073	5C2C	尬
01074	A01074	5C31	就
01075	A01075	5C37	尷
01076	A01076	5C38	尸
01077	A01077	5C3A	尺
01078	A01078	5C3C	尼
01079	A01079	5C40	局
01080	A01080	5C41	屁
01081	A01081	5C3F	尿
01082	A01082	5C3E	尾
01083	A01083	5C48	屈
01084	A01084	5C45	居
01085	A01085	5C46	屆
01086	A01086	5C4E	屎
01087	A01087	5C4F	屏
01088	A01088	5C4D	屍
01089	A01089	5C4B	屋
01090	A01090	5C51	屑
01091	A01091	5C55	展
01092	A01092	5C50	屐
01093	A01093	5C60	屠
01094	A01094	5C5C	屜
01095	A01095	5C62	屢
01096	A01096	5C64	層
01097	A01097	5C65	履
01098	A01098	5C6C	屬
01099	A01099	5C6F	屯
01100	A01100	5C71	山
01101	A01101	5C79	屹
01102	A01102	5C90	岐
01103	A01103	5C91	岑
01104	A01104	5C94	岔
01105	A01105	5C8C	岌
01106	A01106	5CB7	岷
01107	A01107	5CA1	岡
01108	A01108	5CB8	岸
01109	A01109	5CA9	岩
01110	A01110	5CAB	岫
01111	A01111	5CB1	岱
01112	A01112	5CB3	岳
01113	A01113	5CD9	峙
01114	A01114	5CED	峭
01115	A01115	5CFD	峽
01116	A01116	5CFB	峻
01117	A01117	5CEA	峪
01118	A01118	5CE8	峨
01119	A01119	5CF0	峰
01120	A01120	5CF6	島
01121	A01121	5D01	崁
01122	A01122	5D07	崇
01123	A01123	5D06	崆
01124	A01124	5D0E	崎
01125	A01125	5D1B	崛
01126	A01126	5D16	崖
01127	A01127	5D22	崢
01128	A01128	5D11	崑
01129	A01129	5D29	崩
01130	A01130	5D14	崔
01131	A01131	5D19	崙
01132	A01132	5D4C	嵌
01133	A01133	5D50	嵐
01134	A01134	5D69	嵩
01135	A01135	5D84	嶄
01136	A01136	5D87	嶇
01137	A01137	5D9D	嶝
01138	A01138	5DBC	嶼
01139	A01139	5DBA	嶺
01140	A01140	5DBD	嶽
01141	A01141	5DCD	巍
01142	A01142	5DD4	巔
01143	A01143	5DD2	巒
01144	A01144	5DD6	巖
01145	A01145	5DDD	川
01146	A01146	5DDE	州
01147	A01147	5DE2	巢
01148	A01148	5DE5	工
01149	A01149	5DE8	巨
01150	A01150	5DE7	巧
01151	A01151	5DE6	左
01152	A01152	5DEB	巫
01153	A01153	5DEE	差
01154	A01154	5DF1	己
01155	A01155	5DF2	已
01156	A01156	5DF3	巳
01157	A01157	5DF4	巴
01158	A01158	5DF7	巷
01159	A01159	5DFD	巽
01160	A01160	5DFE	巾
01161	A01161	5E02	市
01162	A01162	5E03	布
01163	A01163	5E06	帆
01164	A01164	5E0C	希
01165	A01165	5E18	帘
01166	A01166	5E1A	帚
01167	A01167	5E16	帖
01168	A01168	5E15	帕
01169	A01169	5E1B	帛
01170	A01170	5E11	帑
01171	A01171	5E1D	帝
01172	A01172	5E25	帥
01173	A01173	5E2D	席
01174	A01174	5E2B	師
01175	A01175	5E38	常
01176	A01176	5E36	帶
01177	A01177	5E33	帳
01178	A01178	5E37	帷
01179	A01179	5E45	幅
01180	A01180	5E3D	帽
01181	A01181	5E40	幀
01182	A01182	5E4C	幌
01183	A01183	5E5B	幛
01184	A01184	5E63	幣
01185	A01185	5E55	幕
01186	A01186	5E57	幗
01187	A01187	5E54	幔
01188	A01188	5E62	幢
01189	A01189	5E5F	幟
01190	A01190	5E6B	幫
01191	A01191	5E72	干
01192	A01192	5E73	平
01193	A01193	5E76	并
01194	A01194	5E74	年
01195	A01195	5E78	幸
01196	A01196	5E79	幹
01197	A01197	5E7B	幻
01198	A01198	5E7C	幼
01199	A01199	5E7D	幽
01200	A01200	5E7E	幾
01201	A01201	5E8F	序
01202	A01202	5E87	庇
01203	A01203	5E8A	床
01204	A01204	5E9A	庚
01205	A01205	5E97	店
01206	A01206	5E9C	府
01207	A01207	5E95	底
01208	A01208	5E96	庖
01209	A01209	5EA0	庠
01210	A01210	5EA6	度
01211	A01211	5EAB	庫
01212	A01212	5EAD	庭
01213	A01213	5EA7	座
01214	A01214	5EB7	康
01215	A01215	5EB8	庸
01216	A01216	5EB6	庶
01217	A01217	5EB5	庵
01218	A01218	5EBE	庾
01219	A01219	5ECA	廊
01220	A01220	5EC1	廁
01221	A01221	5EC2	廂
01222	A01222	5EC9	廉
01223	A01223	5EC8	廈
01224	A01224	5ED3	廓
01225	A01225	5ED6	廖
01226	A01226	5EE2	廢
01227	A01227	5EDA	廚
01228	A01228	5EDF	廟
01229	A01229	5EDD	廝
01230	A01230	5EE3	廣
01231	A01231	5EE0	廠
01232	A01232	9F90	龐
01233	A01233	5EEC	廬
01234	A01234	5EF3	廳
01235	A01235	5EF7	廷
01236	A01236	5EF6	延
01237	A01237	5EFA	建
01238	A01238	5EFF	廿
01239	A01239	5F01	弁
01240	A01240	5F04	弄
01241	A01241	5F08	弈
01242	A01242	5F0A	弊
01243	A01243	5F0F	式
01244	A01244	5F12	弒
01245	A01245	5F13	弓
01246	A01246	5F14	弔
01247	A01247	5F15	引
01248	A01248	5F18	弘
01249	A01249	5F17	弗
01250	A01250	5F1B	弛
01251	A01251	5F1F	弟
01252	A01252	5F26	弦
01253	A01253	5F27	弧
01254	A01254	5F29	弩
01255	A01255	5F2D	弭
01256	A01256	5F31	弱
01257	A01257	5F35	張
01258	A01258	5F37	強
01259	A01259	5F3C	弼
01260	A01260	5F46	彆
01261	A01261	5F48	彈
01262	A01262	5F4C	彌
01263	A01263	5F4E	彎
01264	A01264	5F57	彗
01265	A01265	5F59	彙
01266	A01266	5F5E	彞
01267	A01267	5F64	彤
01268	A01268	5F62	形
01269	A01269	5F65	彥
01270	A01270	5F6C	彬
01271	A01271	5F69	彩
01272	A01272	5F6B	彫
01273	A01273	5F6D	彭
01274	A01274	5F70	彰
01275	A01275	5F71	影
01276	A01276	5F77	彷
01277	A01277	5F79	役
01278	A01278	5F80	往
01279	A01279	5F81	征
01280	A01280	5F7F	彿
01281	A01281	5F7C	彼
01282	A01282	5F88	很
01283	A01283	5F85	待
01284	A01284	5F8A	徊
01285	A01285	5F8B	律
01286	A01286	5F87	徇
01287	A01287	5F8C	後
01288	A01288	5F92	徒
01289	A01289	5F91	徑
01290	A01290	5F90	徐
01291	A01291	5F97	得
01292	A01292	5F99	徙
01293	A01293	5F9E	從
01294	A01294	5F98	徘
01295	A01295	5FA1	御
01296	A01296	5FA9	復
01297	A01297	5FAA	循
01298	A01298	5FA8	徨
01299	A01299	5FAC	徬
01300	A01300	5FAE	微
01301	A01301	5FB9	徹
01302	A01302	5FB7	德
01303	A01303	5FB5	徵
01304	A01304	5FBD	徽
01305	A01305	5FC3	心
01306	A01306	5FC5	必
01307	A01307	5FD9	忙
01308	A01308	5FD6	忖
01309	A01309	5FD8	忘
01310	A01310	5FCC	忌
01311	A01311	5FD7	志
01312	A01312	5FCD	忍
01313	A01313	5FF1	忱
01314	A01314	5FEB	快
01315	A01315	5FDD	忝
01316	A01316	5FE0	忠
01317	A01317	5FFD	忽
01318	A01318	5FF5	念
01319	A01319	5FFF	忿
01320	A01320	600F	怏
01321	A01321	6014	怔
01322	A01322	602F	怯
01323	A01323	6035	怵
01324	A01324	6016	怖
01325	A01325	602A	怪
01326	A01326	6015	怕
01327	A01327	6021	怡
01328	A01328	6027	性
01329	A01329	6012	怒
01330	A01330	601D	思
01331	A01331	6020	怠
01332	A01332	6025	急
01333	A01333	600E	怎
01334	A01334	6028	怨
01335	A01335	604D	恍
01336	A01336	6070	恰
01337	A01337	6068	恨
01338	A01338	6062	恢
01339	A01339	6046	恆
01340	A01340	6043	恃
01341	A01341	606C	恬
01342	A01342	606B	恫
01343	A01343	606A	恪
01344	A01344	6064	恤
01345	A01345	6059	恙
01346	A01346	6063	恣
01347	A01347	6065	恥
01348	A01348	6050	恐
01349	A01349	6055	恕
01350	A01350	606D	恭
01351	A01351	6069	恩
01352	A01352	606F	息
01353	A01353	6084	悄
01354	A01354	609F	悟
01355	A01355	609A	悚
01356	A01356	608D	悍
01357	A01357	6094	悔
01358	A01358	608C	悌
01359	A01359	6085	悅
01360	A01360	6096	悖
01361	A01361	607F	恿
01362	A01362	60A3	患
01363	A01363	6089	悉
01364	A01364	60A0	悠
01365	A01365	60A8	您
01366	A01366	60CB	惋
01367	A01367	60B4	悴
01368	A01368	60E6	惦
01369	A01369	60BD	悽
01370	A01370	60C5	情
01371	A01371	60BB	悻
01372	A01372	60B5	悵
01373	A01373	60DC	惜
01374	A01374	60BC	悼
01375	A01375	60D8	惘
01376	A01376	60D5	惕
01377	A01377	60C6	惆
01378	A01378	60DF	惟
01379	A01379	60B8	悸
01380	A01380	60DA	惚
01381	A01381	60D1	惑
01382	A01382	60E1	惡
01383	A01383	60B2	悲
01384	A01384	60B6	悶
01385	A01385	60E0	惠
01386	A01386	611C	愜
01387	A01387	6123	愣
01388	A01388	60FA	惺
01389	A01389	6115	愕
01390	A01390	60F0	惰
01391	A01391	60FB	惻
01392	A01392	60F4	惴
01393	A01393	6168	慨
01394	A01394	60F1	惱
01395	A01395	610E	愎
01396	A01396	60F6	惶
01397	A01397	6109	愉
01398	A01398	6100	愀
01399	A01399	611A	愚
01400	A01400	610F	意
01401	A01401	6148	慈
01402	A01402	611F	感
01403	A01403	60F3	想
01404	A01404	611B	愛
01405	A01405	60F9	惹
01406	A01406	6101	愁
01407	A01407	6108	愈
01408	A01408	614E	慎
01409	A01409	614C	慌
01410	A01410	6144	慄
01411	A01411	614D	慍
01412	A01412	613E	愾
01413	A01413	6134	愴
01414	A01414	6127	愧
01415	A01415	6147	慇
01416	A01416	613F	愿
01417	A01417	614B	態
01418	A01418	6177	慷
01419	A01419	6162	慢
01420	A01420	6163	慣
01421	A01421	615F	慟
01422	A01422	615A	慚
01423	A01423	6158	慘
01424	A01424	6176	慶
01425	A01425	6167	慧
01426	A01426	616E	慮
01427	A01427	615D	慝
01428	A01428	6155	慕
01429	A01429	6182	憂
01430	A01430	617C	慼
01431	A01431	6170	慰
01432	A01432	616B	慫
01433	A01433	617E	慾
01434	A01434	61A7	憧
01435	A01435	6190	憐
01436	A01436	61AB	憫
01437	A01437	618E	憎
01438	A01438	61AC	憬
01439	A01439	619A	憚
01440	A01440	61A4	憤
01441	A01441	6194	憔
01442	A01442	61B2	憲
01443	A01443	6191	憑
01444	A01444	61A9	憩
01445	A01445	618A	憊
01446	A01446	61CD	懍
01447	A01447	61B6	憶
01448	A01448	61BE	憾
01449	A01449	61C2	懂
01450	A01450	61CA	懊
01451	A01451	61C8	懈
01452	A01452	61C9	應
01453	A01453	61C7	懇
01454	A01454	61E6	懦
01455	A01455	61E3	懣
01456	A01456	61F2	懲
01457	A01457	61F7	懷
01458	A01458	61F6	懶
01459	A01459	61F5	懵
01460	A01460	61F8	懸
01461	A01461	61FA	懺
01462	A01462	61FC	懼
01463	A01463	61FE	懾
01464	A01464	61FF	懿
01465	A01465	6200	戀
01466	A01466	6208	戈
01467	A01467	620A	戊
01468	A01468	620E	戎
01469	A01469	620C	戌
01470	A01470	620D	戍
01471	A01471	6210	成
01472	A01472	6212	戒
01473	A01473	6211	我
01474	A01474	6216	或
01475	A01475	6215	戕
01476	A01476	621A	戚
01477	A01477	621B	戛
01478	A01478	621F	戟
01479	A01479	6221	戡
01480	A01480	6222	戢
01481	A01481	622A	截
01482	A01482	622E	戮
01483	A01483	6230	戰
01484	A01484	6232	戲
01485	A01485	6234	戴
01486	A01486	6233	戳
01487	A01487	6236	戶
01488	A01488	623F	房
01489	A01489	623E	戾
01490	A01490	6240	所
01491	A01491	6241	扁
01492	A01492	6247	扇
01493	A01493	6248	扈
01494	A01494	6249	扉
01495	A01495	624B	手
01496	A01496	624D	才
01497	A01497	624E	扎
01498	A01498	6253	打
01499	A01499	6254	扔
01500	A01500	6252	扒
01501	A01501	6263	扣
01502	A01502	625B	扛
01503	A01503	6258	托
01504	A01504	6284	抄
01505	A01505	6297	抗
01506	A01506	6296	抖
01507	A01507	6280	技
01508	A01508	6276	扶
01509	A01509	6289	抉
01510	A01510	626D	扭
01511	A01511	628A	把
01512	A01512	627C	扼
01513	A01513	627E	找
01514	A01514	6279	批
01515	A01515	6273	扳
01516	A01516	6292	抒
01517	A01517	626F	扯
01518	A01518	6298	折
01519	A01519	626E	扮
01520	A01520	6295	投
01521	A01521	6293	抓
01522	A01522	6291	抑
01523	A01523	627F	承
01524	A01524	62C9	拉
01525	A01525	62CC	拌
01526	A01526	62C4	拄
01527	A01527	62BF	抿
01528	A01528	62C2	拂
01529	A01529	62B9	抹
01530	A01530	62D2	拒
01531	A01531	62DB	招
01532	A01532	62AB	披
01533	A01533	62D3	拓
01534	A01534	62D4	拔
01535	A01535	62CB	拋
01536	A01536	62C8	拈
01537	A01537	62A8	抨
01538	A01538	62BD	抽
01539	A01539	62BC	押
01540	A01540	62D0	拐
01541	A01541	62D9	拙
01542	A01542	62C7	拇
01543	A01543	62CD	拍
01544	A01544	62B5	抵
01545	A01545	62DA	拚
01546	A01546	62B1	抱
01547	A01547	62D8	拘
01548	A01548	62D6	拖
01549	A01549	62D7	拗
01550	A01550	62C6	拆
01551	A01551	62AC	抬
01552	A01552	62CE	拎
01553	A01553	62DC	拜
01554	A01554	6316	挖
01555	A01555	6309	按
01556	A01556	62FC	拼
01557	A01557	62ED	拭
01558	A01558	6301	持
01559	A01559	62EE	拮
01560	A01560	62FD	拽
01561	A01561	6307	指
01562	A01562	62F1	拱
01563	A01563	62F7	拷
01564	A01564	62EF	拯
01565	A01565	62EC	括
01566	A01566	62FE	拾
01567	A01567	62F4	拴
01568	A01568	6311	挑
01569	A01569	62F3	拳
01570	A01570	6308	挈
01571	A01571	62FF	拿
01572	A01572	634E	捎
01573	A01573	633E	挾
01574	A01574	632F	振
01575	A01575	6355	捕
01576	A01576	6342	捂
01577	A01577	6346	捆
01578	A01578	634F	捏
01579	A01579	6349	捉
01580	A01580	633A	挺
01581	A01581	6350	捐
01582	A01582	633D	挽
01583	A01583	632A	挪
01584	A01584	632B	挫
01585	A01585	6328	挨
01586	A01586	63A0	掠
01587	A01587	63A7	控
01588	A01588	6372	捲
01589	A01589	6396	掖
01590	A01590	63A2	探
01591	A01591	63A5	接
01592	A01592	6377	捷
01593	A01593	6367	捧
01594	A01594	6398	掘
01595	A01595	63AA	措
01596	A01596	6371	捱
01597	A01597	63A9	掩
01598	A01598	6389	掉
01599	A01599	6383	掃
01600	A01600	639B	掛
01601	A01601	636B	捫
01602	A01602	63A8	推
01603	A01603	6384	掄
01604	A01604	6388	授
01605	A01605	6399	掙
01606	A01606	63A1	採
01607	A01607	63AC	掬
01608	A01608	6392	排
01609	A01609	638F	掏
01610	A01610	6380	掀
01611	A01611	637B	捻
01612	A01612	6369	捩
01613	A01613	6368	捨
01614	A01614	63A3	掣
01615	A01615	638C	掌
01616	A01616	63CF	描
01617	A01617	63C0	揀
01618	A01618	63E9	揩
01619	A01619	63C9	揉
01620	A01620	63C6	揆
01621	A01621	63CD	揍
01622	A01622	63D2	插
01623	A01623	63E3	揣
01624	A01624	63D0	提
01625	A01625	63E1	握
01626	A01626	63D6	揖
01627	A01627	63ED	揭
01628	A01628	63EE	揮
01629	A01629	6376	捶
01630	A01630	63F4	援
01631	A01631	63EA	揪
01632	A01632	63DB	換
01633	A01633	6452	摒
01634	A01634	63DA	揚
01635	A01635	6413	搓
01636	A01636	643E	搾
01637	A01637	641E	搞
01638	A01638	642A	搪
01639	A01639	642D	搭
01640	A01640	643D	搽
01641	A01641	642C	搬
01642	A01642	640F	搏
01643	A01643	641C	搜
01644	A01644	6414	搔
01645	A01645	640D	損
01646	A01646	6436	搶
01647	A01647	6416	搖
01648	A01648	6417	搗
01649	A01649	6487	撇
01650	A01650	6458	摘
01651	A01651	6454	摔
01652	A01652	64A4	撤
01653	A01653	6478	摸
01654	A01654	645F	摟
01655	A01655	647A	摺
01656	A01656	6451	摑
01657	A01657	6467	摧
01658	A01658	6469	摩
01659	A01659	646F	摯
01660	A01660	6479	摹
01661	A01661	649E	撞
01662	A01662	64B2	撲
01663	A01663	6488	撈
01664	A01664	6490	撐
01665	A01665	64B0	撰
01666	A01666	64A5	撥
01667	A01667	6493	撓
01668	A01668	6495	撕
01669	A01669	64A9	撩
01670	A01670	6492	撒
01671	A01671	64AE	撮
01672	A01672	64AD	播
01673	A01673	64AB	撫
01674	A01674	649A	撚
01675	A01675	64AC	撬
01676	A01676	64C5	擅
01677	A01677	64C1	擁
01678	A01678	64CB	擋
01679	A01679	64BB	撻
01680	A01680	64BC	撼
01681	A01681	64DA	據
01682	A01682	64C4	擄
01683	A01683	64C7	擇
01684	A01684	64C2	擂
01685	A01685	64CD	操
01686	A01686	64BF	撿
01687	A01687	64D2	擒
01688	A01688	64D4	擔
01689	A01689	64CE	擎
01690	A01690	64CA	擊
01691	A01691	64D8	擘
01692	A01692	64E0	擠
01693	A01693	64F0	擰
01694	A01694	64E6	擦
01695	A01695	64EC	擬
01696	A01696	64F1	擱
01697	A01697	64F4	擴
01698	A01698	64F2	擲
01699	A01699	64FE	擾
01700	A01700	6506	攆
01701	A01701	64FA	擺
01702	A01702	64FB	擻
01703	A01703	6500	攀
01704	A01704	650F	攏
01705	A01705	6518	攘
01706	A01706	6514	攔
01707	A01707	6519	攙
01708	A01708	651D	攝
01709	A01709	651C	攜
01710	A01710	6524	攤
01711	A01711	6523	攣
01712	A01712	652B	攫
01713	A01713	652A	攪
01714	A01714	652C	攬
01715	A01715	652F	支
01716	A01716	6536	收
01717	A01717	6539	改
01718	A01718	653B	攻
01719	A01719	653E	放
01720	A01720	653F	政
01721	A01721	6545	故
01722	A01722	6548	效
01723	A01723	655D	敝
01724	A01724	6556	敖
01725	A01725	6551	救
01726	A01726	6559	教
01727	A01727	6557	敗
01728	A01728	555F	啟
01729	A01729	654F	敏
01730	A01730	6558	敘
01731	A01731	655E	敞
01732	A01732	6566	敦
01733	A01733	6562	敢
01734	A01734	6563	散
01735	A01735	656C	敬
01736	A01736	6572	敲
01737	A01737	6575	敵
01738	A01738	6577	敷
01739	A01739	6578	數
01740	A01740	6574	整
01741	A01741	6582	斂
01742	A01742	6583	斃
01743	A01743	6587	文
01744	A01744	6591	斑
01745	A01745	6590	斐
01746	A01746	6597	斗
01747	A01747	6599	料
01748	A01748	659C	斜
01749	A01749	659F	斟
01750	A01750	65A1	斡
01751	A01751	65A4	斤
01752	A01752	65A5	斥
01753	A01753	65A7	斧
01754	A01754	65AB	斫
01755	A01755	65AC	斬
01756	A01756	65AF	斯
01757	A01757	65B0	新
01758	A01758	65B7	斷
01759	A01759	65B9	方
01760	A01760	65BC	於
01761	A01761	65BD	施
01762	A01762	65C1	旁
01763	A01763	65C5	旅
01764	A01764	65CF	族
01765	A01765	65CB	旋
01766	A01766	65CC	旌
01767	A01767	65CE	旎
01768	A01768	65D7	旗
01769	A01769	65D6	旖
01770	A01770	65E2	既
01771	A01771	65E5	日
01772	A01772	65E6	旦
01773	A01773	65E9	早
01774	A01774	65E8	旨
01775	A01775	65EC	旬
01776	A01776	65ED	旭
01777	A01777	65F1	旱
01778	A01778	65FA	旺
01779	A01779	6614	昔
01780	A01780	6613	易
01781	A01781	660C	昌
01782	A01782	6606	昆
01783	A01783	6602	昂
01784	A01784	660E	明
01785	A01785	6600	昀
01786	A01786	660F	昏
01787	A01787	6625	春
01788	A01788	662D	昭
01789	A01789	6620	映
01790	A01790	6627	昧
01791	A01791	662F	是
01792	A01792	661F	星
01793	A01793	6628	昨
01794	A01794	6642	時
01795	A01795	6649	晉
01796	A01796	664F	晏
01797	A01797	6643	晃
01798	A01798	6652	晒
01799	A01799	664C	晌
01800	A01800	665D	晝
01801	A01801	665A	晚
01802	A01802	6664	晤
01803	A01803	6668	晨
01804	A01804	6666	晦
01805	A01805	666E	普
01806	A01806	6670	晰
01807	A01807	6674	晴
01808	A01808	6676	晶
01809	A01809	666F	景
01810	A01810	6691	暑
01811	A01811	667A	智
01812	A01812	6697	暗
01813	A01813	6689	暉
01814	A01814	6687	暇
01815	A01815	6688	暈
01816	A01816	6696	暖
01817	A01817	66A2	暢
01818	A01818	66A8	暨
01819	A01819	66AE	暮
01820	A01820	66AB	暫
01821	A01821	66B4	暴
01822	A01822	66C6	曆
01823	A01823	66C9	曉
01824	A01824	66B9	暹
01825	A01825	66D9	曙
01826	A01826	66D6	曖
01827	A01827	66E0	曠
01828	A01828	66DD	曝
01829	A01829	66E6	曦
01830	A01830	66F0	曰
01831	A01831	66F2	曲
01832	A01832	66F3	曳
01833	A01833	66F4	更
01834	A01834	66F7	曷
01835	A01835	66F8	書
01836	A01836	66F9	曹
01837	A01837	52D7	勗
01838	A01838	66FE	曾
01839	A01839	66FF	替
01840	A01840	6703	會
01841	A01841	6708	月
01842	A01842	6709	有
01843	A01843	670D	服
01844	A01844	670B	朋
01845	A01845	6714	朔
01846	A01846	6715	朕
01847	A01847	6717	朗
01848	A01848	671B	望
01849	A01849	671F	期
01850	A01850	671D	朝
01851	A01851	6726	朦
01852	A01852	6727	朧
01853	A01853	6728	木
01854	A01854	672E	朮
01855	A01855	672C	本
01856	A01856	672A	未
01857	A01857	672B	末
01858	A01858	672D	札
01859	A01859	673D	朽
01860	A01860	6734	朴
01861	A01861	6731	朱
01862	A01862	6735	朵
01863	A01863	675F	束
01864	A01864	674E	李
01865	A01865	674F	杏
01866	A01866	6750	材
01867	A01867	6751	村
01868	A01868	675C	杜
01869	A01869	6756	杖
01870	A01870	675E	杞
01871	A01871	6749	杉
01872	A01872	676D	杭
01873	A01873	678B	枋
01874	A01874	6795	枕
01875	A01875	6771	東
01876	A01876	679C	果
01877	A01877	6773	杳
01878	A01878	6777	杷
01879	A01879	6787	枇
01880	A01880	679D	枝
01881	A01881	6797	林
01882	A01882	676F	杯
01883	A01883	6770	杰
01884	A01884	677F	板
01885	A01885	6789	枉
01886	A01886	677E	松
01887	A01887	6790	析
01888	A01888	6775	杵
01889	A01889	679A	枚
01890	A01890	67FF	柿
01891	A01891	67D3	染
01892	A01892	67F1	柱
01893	A01893	67D4	柔
01894	A01894	67D0	某
01895	A01895	67EC	柬
01896	A01896	67B6	架
01897	A01897	67AF	枯
01898	A01898	67F5	柵
01899	A01899	67E9	柩
01900	A01900	67EF	柯
01901	A01901	67C4	柄
01902	A01902	67D1	柑
01903	A01903	67B4	枴
01904	A01904	67DA	柚
01905	A01905	67E5	查
01906	A01906	67B8	枸
01907	A01907	67CF	柏
01908	A01908	67DE	柞
01909	A01909	67F3	柳
01910	A01910	6821	校
01911	A01911	6838	核
01912	A01912	6848	案
01913	A01913	6846	框
01914	A01914	6853	桓
01915	A01915	6839	根
01916	A01916	6842	桂
01917	A01917	6854	桔
01918	A01918	6829	栩
01919	A01919	68B3	梳
01920	A01920	6817	栗
01921	A01921	684C	桌
01922	A01922	6851	桑
01923	A01923	683D	栽
01924	A01924	67F4	柴
01925	A01925	6850	桐
01926	A01926	6840	桀
01927	A01927	683C	格
01928	A01928	6843	桃
01929	A01929	682A	株
01930	A01930	6845	桅
01931	A01931	6813	栓
01932	A01932	6881	梁
01933	A01933	68AF	梯
01934	A01934	68A2	梢
01935	A01935	6893	梓
01936	A01936	68B5	梵
01937	A01937	687F	桿
01938	A01938	6876	桶
01939	A01939	68B1	梱
01940	A01940	68A7	梧
01941	A01941	6897	梗
01942	A01942	68B0	械
01943	A01943	6883	梃
01944	A01944	68C4	棄
01945	A01945	68AD	梭
01946	A01946	6886	梆
01947	A01947	6885	梅
01948	A01948	6894	梔
01949	A01949	689D	條
01950	A01950	68A8	梨
01951	A01951	689F	梟
01952	A01952	68FA	棺
01953	A01953	68D5	棕
01954	A01954	68E0	棠
01955	A01955	68D8	棘
01956	A01956	68D7	棗
01957	A01957	6905	椅
01958	A01958	68DF	棟
01959	A01959	68F5	棵
01960	A01960	68EE	森
01961	A01961	68E7	棧
01962	A01962	68F9	棹
01963	A01963	68D2	棒
01964	A01964	68F2	棲
01965	A01965	68E3	棣
01966	A01966	68CB	棋
01967	A01967	68CD	棍
01968	A01968	690D	植
01969	A01969	6912	椒
01970	A01970	690E	椎
01971	A01971	68C9	棉
01972	A01972	68DA	棚
01973	A01973	6994	榔
01974	A01974	696D	業
01975	A01975	695A	楚
01976	A01976	6977	楷
01977	A01977	6960	楠
01978	A01978	6954	楔
01979	A01979	6975	極
01980	A01980	6930	椰
01981	A01981	6982	概
01982	A01982	694A	楊
01983	A01983	6968	楨
01984	A01984	696B	楫
01985	A01985	695E	楞
01986	A01986	6953	楓
01987	A01987	6979	楹
01988	A01988	6986	榆
01989	A01989	699C	榜
01990	A01990	69A8	榨
01991	A01991	6995	榕
01992	A01992	69C1	槁
01993	A01993	69AE	榮
01994	A01994	69D3	槓
01995	A01995	69CB	構
01996	A01996	699B	榛
01997	A01997	69B7	榷
01998	A01998	69BB	榻
01999	A01999	69AB	榫
02000	A02000	69B4	榴
02001	A02001	69D0	槐
02002	A02002	69CD	槍
02003	A02003	69AD	榭
02004	A02004	69CC	槌
02005	A02005	6A23	樣
02006	A02006	6A1F	樟
02007	A02007	69E8	槨
02008	A02008	6A01	樁
02009	A02009	6A1E	樞
02010	A02010	6A19	標
02011	A02011	69FD	槽
02012	A02012	6A21	模
02013	A02013	6A13	樓
02014	A02014	6A0A	樊
02015	A02015	69F3	槳
02016	A02016	6A02	樂
02017	A02017	6A05	樅
02018	A02018	6A3D	樽
02019	A02019	6A38	樸
02020	A02020	6A3A	樺
02021	A02021	6A59	橙
02022	A02022	6A6B	橫
02023	A02023	6A58	橘
02024	A02024	6A39	樹
02025	A02025	6A44	橄
02026	A02026	6A62	橢
02027	A02027	6A61	橡
02028	A02028	6A4B	橋
02029	A02029	6A47	橇
02030	A02030	6A35	樵
02031	A02031	6A5F	機
02032	A02032	6A80	檀
02033	A02033	6A94	檔
02034	A02034	6A84	檄
02035	A02035	6AA2	檢
02036	A02036	6A9C	檜
02037	A02037	6ADB	櫛
02038	A02038	6AB3	檳
02039	A02039	6AAC	檬
02040	A02040	6AC3	櫃
